,title,author,pub_date,genre,book_summary
5699,Doctor Zhivago,Boris Pasternak,1957-01-01,Novel,"Doctor Zhivago Boris Pasternak Novel  Imperial Russia, 1903. The novel opens during a Russian Orthodox funeral liturgy, or panikhida, for Yuri's mother, Marya Nikolaevna Zhivago. Having long ago been abandoned by his father, Yuri is taken in by his maternal uncle, a former Orthodox priest and philosopher. Formerly a wealthy member of Moscow's merchant gentry, Yuri's father, Andrei Zhivago, has squandered the family's millions through debauchery and carousing, and has been progressively bled dry by the corrupt lawyer Viktor"
3597,The Kid from Hell,Boris Strugatsky,1973-01-01,Science Fiction,"The Kid from Hell Boris Strugatsky Science Fiction  The novel tells the story of Gack, a man from Giganda. Gack is a commando in Fighting Cats: an elite army unit of Alai Duchy. In the first chapter of the novel, Gack is mortally wounded in a battle with the army of the Empire. Kornei Yashmaa, a progressor finds him and takes him to Earth where the doctors practically resurrect Gack. Yashmaa tries to help Gack adjust to life on Earth. However, Gack does not want to cooperate or believe that Earth is real. At first, he thinks that everything"
11073,The Final Circle of Paradise,Boris Strugatsky,1965-01-01,Science Fiction,"The Final Circle of Paradise Boris Strugatsky Science Fiction  Ivan Zhilin, posing as a writer working on a novel, visits a seaside resort city to investigate a series of mysterious deaths. Zhilin's role as an undercover agent becomes apparent to the reader only gradually, and is not brought into the open until the final chapters of the novel. While being given a tour of the city, a tourism official tells Zhilin that he will get no work done, as he will be distracted by the ""twelve circles of paradise"" found in the city. These include the Fishers, which"
3291,The Time Wanderers,Boris Strugatsky,1987-03-25,Science Fiction,"The Time Wanderers Boris Strugatsky Science Fiction  The principal characters are Maxim Kammerer and Toyvo Glumov, both working for an organization which investigates ""Unexplained Events"" (""UE""s). Their investigation of a series of events leads them to believe that they are witnesses to a new action by the Wanderers. After much investigation, the UEs are discovered to be the work of a secret society called the Ludens. The Ludens are born human, but possess latent mental powers far beyond those of normal humans. They view themselves as a distinct"
3593,Hard to Be a God,Boris Strugatsky,1964-01-01,Science Fiction,"Hard to Be a God Boris Strugatsky Science Fiction  The first chapter shows a scene from Anton's childhood, when he sneaks away from his boarding school with his friends, Pashka (Paul) and Anka (Anna), for a small role-play in the woods. It reveals that children live in a futuristic utopia, and the teenagers are drawn to the adventures on far away planets, where Earth tries to stimulate progress, by sending undercover agents (known as 'observers', not to be confused with latter-day progressors). While children play they find an abandoned road"
1423,Froth on the daydream,Boris Vian,1947-01-01,Novel,"Froth on the daydream Boris Vian Novel  Colin is a wealthy young man with a resourceful and stylish man-servant, Nicolas, as well as a fantastic olfactory-musical invention: the pianocktail. With dizzying speed, Colin meets and weds Chloé in a grand ceremony. Generously, Colin bequeaths a quarter of his fortune to his friends Chick and Alise so they too may marry. Happiness should await both couples but Chloé falls ill upon her honeymoon with a water lily in the lung, a painful and rare condition that can only be treated by"
12624,Crisis on Centaurus,Brad Ferguson,1986-03-01,Science Fiction,"Crisis on Centaurus Brad Ferguson Science Fiction  On the planet Centaurus, the planetary capital of New Athens has been annihilated by a terrorist antimatter bomb. Millions are dead; because of a computer malfunction, the planetary defense system is preventing any rescue ships from approaching the planet. No subspace communication is possible, and traditional speed-of-light radio is blanketed with heavy static. Despite an emergency do-not-approach warning (known as Code 7-10, which went unheard), the first three relief ships, carrying"
12709,A Flag Full of Stars,Brad Ferguson,1991-04-01,Science Fiction,"A Flag Full of Stars Brad Ferguson Science Fiction  It has been eighteen months since the end of the original five year mission. Captain Kirk, now an admiral, is on earth, in a new relationship, overseeing the refit of his beloved ship. Plans are to hand it over to its new captain, Willard Decker. Kirk meets a scientist, G'Dath, who has invented a device that could tip the balance of power for the Federation and the Klingons. Both sides pursue the man. Kirk and his former crewmate, Kevin Riley, attempt to save the day."
12958,The Lions of Lucerne,Brad Thor,2002-01-01,Spy fiction,"The Lions of Lucerne Brad Thor Spy fiction  The work is Thor's first novel with the character of Scot Harvath, an ex-Navy SEAL and current U.S. Secret Service agent. Harvath survives an attack which leaves 30 of his fellow agents dead and the president of the United States kidnapped. He begins a search for those responsible and attempts to rescue the president."
2689,Lair of the White Worm,Bram Stoker,1911-01-01,Science Fiction,"Lair of the White Worm Bram Stoker Science Fiction  The plot focuses on Adam Salton, originally from Australia, who is contacted by his great-uncle, Richard Salton, in 1860 Derbyshire for the purpose of establishing a relationship between these last two members of the family. His great-uncle wants to make Adam his heir. Adam travels to Richard Salton's house in Mercia, Lesser Hill, and quickly finds himself at the centre of mysterious and inexplicable occurrences. The new heir to the Caswall estate, known as Castra Regis, the Royal Camp, Edgar"
11277,The Primrose Path,Bram Stoker,1875-01-01,Science fiction,"The Primrose Path Bram Stoker Science fiction  Jerry O'Sullivan, honest Dublin theatrical carpenter, moves to London, seeking a better job. Against the better judgement of the people surrounding him, Jerry decides to go to the metropolis with his faithful wife Katey. O'Sullivan is hired as head carpenter in a squalid theatre in London, but after several misfortunes he is strongly tempted by and eventually brought down by alcohol."
25,Dracula,Bram Stoker,1897-01-01,Science Fiction,"Dracula Bram Stoker Science Fiction  The novel is told in epistolary format, as a series of letters, diary entries, ships' log entries, and so forth. The main writers of these items are also the novel's protagonists. The story is occasionally supplemented with newspaper clippings that relate events not directly witnessed by the story's characters. The tale begins with Jonathan Harker, a newly qualified English solicitor, journeying by train and carriage from England to Count Dracula's crumbling, remote castle (situated in the"
14502,Fablehaven: Keys to the Demon Prison,Brandon Mull,2010-03-23,Fantasy,"Fablehaven: Keys to the Demon Prison Brandon Mull Fantasy  Kendra, Seth, and the Knights of the Dawn continue to take the last possible steps to safeguard the keys and locks placed on Zzyzx. Seth was taken captive to a preserve unknown to the world. However, as a result of a certain attempt, the Society gained all the keys to the demon prison. With this added worry, as Kendra finds out, comes some advantages previously unimaginable. Kendra gains two new allies and finds an old friend during her extremely short visit in the same cell as her brother had"
11264,Fablehaven,Brandon Mull,2006-07-30,Science fiction,"Fablehaven Brandon Mull Science fiction  Kendra and Seth Sorenson are shipped off by their parents to Grandma and Grandpa Sorensons house for seventeen days while their parents go on a cruise set up by Grandma and Grandpa Larson for their children and spouses after they died. When they get to the house, Grandpa Sorenson tells them that their grandmother is visiting their dying Great Aunt Edna and introduces them to Lena, the half-Asian housekeeper, and Dale, a man who helps Grandpa Sorenson tend to the grounds. Once Seth and Kendra's"
10120,Fablehaven: Rise of the Evening Star,Brandon Mull,2007-05-31,Fantasy,"Fablehaven: Rise of the Evening Star Brandon Mull Fantasy  At the end of the school year Kendra finds a kobold, that has infiltrated her eighth grade. She can see without a magical milk that can make her see things she cant see without it because the year before the fairies kissed her and gave her power to see mythical creatures. To her he seems ugly but to everyone else he seems like every girl's dream. She knows this has problems written all over it. At the end of the day a man named Errol is just outside their school door saying he can get rid of"
10165,Fablehaven: Grip of the Shadow Plague,Brandon Mull,2008-04-21,Fantasy,"Fablehaven: Grip of the Shadow Plague Brandon Mull Fantasy  Strange things are happening at Fablehaven. The book begins where the second book left off, during the same summer of their second year at Fablehaven. Kendra and Seth helped save Fablehaven from the Society of the Evening Star, but new troubles present themselves almost immediately. Seth discovers that someone, or something, has released a plague throughout Fablehaven. As the disease spreads throughout the preserve, it is clear they can no longer protect the preserve. Creatures of light are"
15665,Mistborn: The Alloy of Law,Brandon Sanderson,2011-11-08,Fantasy,"Mistborn: The Alloy of Law Brandon Sanderson Fantasy  Tor has given a short synopsis of the novel, which is as follows: #"
7206,Mistborn: The Final Empire,Brandon Sanderson,2006-07-17,Fantasy,"Mistborn: The Final Empire Brandon Sanderson Fantasy  In Luthadel, the capital city of the Final Empire, Vin, a scrawny street urchin, is recruited by a thieving group led by Kelsier, the Survivor of the pits of Hathsin, a place where atium, the most valuable metal in the world, is mined. He has a plan to steal the rumored atium stash from the Lord Ruler’s treasury and to free the oppressed Skaa in the process. When Vin learns that she is a Mistborn – a powerful Allomancer who can burn metals to gain special abilities (just like Kelsier) she"
12934,Mistborn: The Hero of Ages,Brandon Sanderson,2008-10-14,Science fiction,"Mistborn: The Hero of Ages Brandon Sanderson Science fiction  Vin, after taking the power of the Well of Ascension at the end of the previous book, released it into the world instead of saving Elend. Elend, however, survived by consuming a bead of metal which made him an extremely powerful Mistborn. However, the entirety of the Terrismen prophecies were shown to have been changed by the god, Ruin, in order to trick Vin into freeing it from the Well. Now Ruin has been released and is beginning to destroy the world. The Lord Ruler, in preparation of such"
10519,Mistborn: The Well of Ascension,Brandon Sanderson,2007-08-21,Science fiction,"Mistborn: The Well of Ascension Brandon Sanderson Science fiction  The book begins with two armies laying siege to Luthadel - the army of Elend's father, Straff Venture and another one headed by Cett. Elend is now the King of Luthadel, with Vin as his girlfriend and the rest of the team as his close confidants. A short time later, a third army of koloss arrives, led by one of Elend's former friends, who is buying their obedience with counterfeit coins. Vin is starting to become suspicious of the mist, as they no longer make her feel as at home as they used"
13893,The Gathering Storm,Brandon Sanderson,2009-11-03,Fantasy,"The Gathering Storm Brandon Sanderson Fantasy  As Rand's story begins he is restoring order in the nation of Arad Doman while searching for Graendal, one of the Dark One's favored servants known as the Forsaken. The Aes Sedai work with Rand to interrogate Semirhage, another Forsaken captured at the end of Knife of Dreams. After being freed by her allies, Semirhage is given a Domination Band, an item used to control male channelers, and locks it around Rand's neck. She and Black Ajah sister Elza Penfell use it to make him torture and"
16333,Infinity Blade: Awakening,Brandon Sanderson,2011-10-04,Fantasy,"Infinity Blade: Awakening Brandon Sanderson Fantasy  The story picks up from the main ending of Infinity Blade. Siris, the final player character in Infinity Blade, returns to his hometown of Drem's Maw after killing the Deathless God King with his own sword, the Infinity Blade. The elders of Drem's Maw force Siris to leave because they fear the other Deathless will attack Drem's Maw to reclaim the Infinity Blade. Siris returns to Lantimor, where he had defeated the God King. While there Siris gains a partner of sorts in Isa, an assassin who is"
4831,"River, Cross My Heart",Breena Clarke,1999-01-01,Novel,"River, Cross My Heart Breena Clarke Novel  The Potomac River claims the death of the daughter by drowning, and the family leaves their rural North Carolina world in search of a better life among friends and relatives in Georgetown. The seek to come to terms with their loss."
4874,Building Harlequin's Moon,Brenda Cooper,2005-06-01,Science Fiction,"Building Harlequin's Moon Brenda Cooper Science Fiction  Gabriel is teaching a group of moon-born teenagers about agriculture. Rachel is one of these; she passes her exams and is selected by Gabriel to become a leader of the moon-born. Andrew is another; he fails his exams because he plays a practical joke on Rachel. Gabriel takes Rachel to the John Glenn. As the first moon-born to visit the ship, she arouses hostility from some of the leaders there. She learns that there are three classes amongst the space travelers: five are High Council, who rule"
12474,Geography Club,Brent Hartinger,2003-03-04,Novel,"Geography Club Brent Hartinger Novel  Russel Middlebrook is homosexual and feels isolated and alone from the rest of the people in his high school. His two best friends (Gunnar and Min) are not aware of his sexuality. Russel feels sexual attractions towards many 'jocks' in his school, especially when they are getting changed in gym, and particularly Kevin Land. In the cafeteria, the jocks play a cruel prank on the 'school outcast', Brian Bund, causing Russel to feel sympathetic towards Brian. That night, he is on a gay internet"
15470,The Black Prism,Brent Weeks,2010-08-25,Fantasy,"The Black Prism Brent Weeks Fantasy  The book is set in a world where colour is the foundation for all magic. Sixteen years after a war that rocked the world, the Prism receives a note from a lady named Lina, first telling him of the existence of and then telling him to come and get his now 15 year old son, a bastard child that had been conceived while he was betrothed to Karris White Oak, a member of the most elite bodyguard force, the Blackguard. The White sends Karris to Garriston, Tyrea's capital, to spy on its Satrap's army."
2687,Lunar Park,Bret Easton Ellis,2005-08-16,Science fiction,"Lunar Park Bret Easton Ellis Science fiction  The novel begins with an inflated and parodic but reasonably accurate portrayal of Ellis' early fame. It details incidents of his wild drug use and his publicly humiliating book tours to promote Glamorama. The novel dissolves into fiction as Ellis describes a liaison with an actress named Jayne Dennis, whom he later marries, and with whom he conceives an (initially) illegitimate child. From this point the fictional Ellis' life reflects the real Ellis' only in some descriptions of the past and"
1334,The Rules of Attraction,Bret Easton Ellis,1987-09-01,Black comedy,"The Rules of Attraction Bret Easton Ellis Black comedy  The novel is written in the first-person, continuing the aesthetic of Ellis' earlier Less Than Zero, and is told from the points of view of multiple characters. The main narrators are three students: Paul, Sean, and Lauren. A number of other characters also provide first-hand accounts throughout the story, which takes place at the fictional Camden College, a liberal arts school on the East Coast of the United States. The three main characters (who rarely attend class) end up in a love triangle"
481,American Psycho,Bret Easton Ellis,1991-01-01,Satire,"American Psycho Bret Easton Ellis Satire  Set in Manhattan during the Wall Street boom of the late 1980s, American Psycho is about the daily life of wealthy young investment banker Patrick Bateman. Bateman, in his late 20s when the story begins, narrates his everyday activities, from his recreational life among the Wall Street elite of New York to his forays into murder by nightfall. Through present tense stream-of-consciousness narrative, Bateman describes his daily life, ranging from a series of Friday nights spent at nightclubs"
1492,Less Than Zero,Bret Easton Ellis,1985-01-01,Fiction,"Less Than Zero Bret Easton Ellis Fiction  Titled after the Elvis Costello song of the same name, the novel follows the life of Clay, a rich young college student who has returned to his hometown of Los Angeles, California for winter break during the early 1980s. Through stream of consciousness, first person narration, Clay describes his progressive alienation from the youth party scene, loss of faith in his friends, and his meditations on important events in his recent past. After reuniting with his friend Trent, now a successful"
4834,Jewel,Bret Lott,1991-11-01,Children's literature,"Jewel Bret Lott Children's literature  The year is 1943 and life is good for Jewel Hilburn, her husband, Leston, and their five children. Although there's a war on, the Mississippi economy is booming, providing plenty of business for the hardworking family. And even the news that eldest son James has enlisted is mitigated by the fact that Jewel, now pushing 40, is pregnant with one last child. Her joy is slightly clouded, however, when her childhood friend Cathedral arrives at the door with a troubling prophecy: ""I say unto you"
6023,An Age,Brian Aldiss,1967-01-01,Science Fiction,"An Age Brian Aldiss Science Fiction  The story concerns Edward Bush, an artist searching for inspiration in the past. When Bush returns from a long stay in the Cryptozoic, he finds that his nation (presumably the United Kingdom) has been taken over by a totalitarian government. He is immediately drafted into the military and given the mission to kill the scientist Silverstone. As Bush mind travels again to fulfill his mission, he learns of Silverstone's new philosophical and scientific discoveries. Bush and Silverstone meet and"
4821,Non-Stop,Brian Aldiss,1958-01-01,Science Fiction,"Non-Stop Brian Aldiss Science Fiction  The novel's protagonist, Roy Complain, lives in a culturally-primordial tribe where curiosity is discouraged and life is solitary, poor, nasty, brutish and short. With a small group, he leaves his home and ventures into uncharted territory. The consequent discoveries will change his perception of the entire universe. Complain's small tribe roam nomadically through corridors overrun by vegetation. After his wife is kidnapped, a tribal priest named Marapper encourages Complain to join a furtive"
6418,Last Orders,Brian Aldiss,1996-01-26,Science fiction,"Last Orders Brian Aldiss Science fiction  The story makes much use of flashbacks to tell the convoluted story of the relationships between a group of war veterans who live in the same corner of London, the backbone of the story being the journey of the group to Margate to scatter the ashes of Jack Dodds into the sea, in accord with his last wishes. The title 'Last Orders' not only refers to these instructions as stipulated in Jack Dodd's will, but also alludes to the 'last orders (of the day)' - the last round of drinks to be ordered"
2072,Earthworks,Brian Aldiss,1965-01-01,Science Fiction,"Earthworks Brian Aldiss Science Fiction  The novel is set in a world of environmental catastrophe and extreme socio-economic inequality. Outside crowded cities controlled by a police state, a class of wealthy and powerful ""Farmers"" exploit a rural prison labor population and hunt down subversive ""Travellers"" who have broken free of social controls. The novel is considered influential as both ""Travellers"" and the idea of the Earthwork have become part of public life in Britain."
9103,Hothouse,Brian Aldiss,1962-01-01,Science Fiction,"Hothouse Brian Aldiss Science Fiction  Lily-yo, leader of a small, matriarchal human tribe, decides that the group should break up, as the adults are too old, and should go to the Tips, the dangerous top levels of the forest in order to go ""Up"". Burnurns&nbsp;&ndash; transparent seed-casings&nbsp;&ndash; are collected, and the adults seal themselves inside after which the young attach them to the webs of the giant spider-like plants, Traversers, which travel into space to receive more intense sunlight and escape the parasitic"
9033,A Cage of Butterflies,Brian Caswell,1992-01-01,Science fiction,"A Cage of Butterflies Brian Caswell Science fiction  The story is set in a research facility (known as the ""farm"") involving two groups of people. The first group contains several teenagers with IQs above 150. These teenagers (Greg, Mikki, Lesley, Gordon, Gretel, Katie and Chris) call themselves the ""Think Tank"". However, this group is merely a smokescreen for the real subjects of the research - five seven year-olds who are able to communicate telepathically, known as the ""Babies"". The Babies are called Pep, Ricardo, Ian, Rachael and Myriam. The"
8888,Judith,Brian Cleeve,1978-01-01,Historical novel,"Judith Brian Cleeve Historical novel  It is 1799 and eighteen-year-old Judith Mortimer lives with her widowed father, Jonathan, on their farm in Essex. Jonathan Mortimer has devoted his adult life, and most of his money, to writing and publishing lengthy treatises on various subjects close to his heart. None has found favour with the reading public and, consequently, he and his daughter are close to penury. Several years earlier, Mortimer suffered a stroke and is confined to bed where he works on his latest project, A Treatise on"
8943,Tread Softly in this Place,Brian Cleeve,1972-01-01,Novel,"Tread Softly in this Place Brian Cleeve Novel  A year before the novel opens, Peadar and Matty Power, two elderly bachelor brothers, sold a portion of their land to Norwegian fish farmers. However, they resent no longer being able to use the land in question and, one night, they release the entire stock of fish into the sea. In doing so, they set in train a series of events that lead to tragic consequences. For several years, rumours have been rife in the locality that a major industrial project might be located in Ross. This would be very"
8816,The Far Hills,Brian Cleeve,1952-01-01,Novel,"The Far Hills Brian Cleeve Novel  The novel focuses on the McDonald family, who live a hand-to-mouth existence following their abandonment by paterfamilias, the feckless Rory McDonald. Into their lives comes Brendan Courtney O’Brien, scion of a wealthy Irish family, who has fallen in love with the eldest of the McDonald children, Erika. Despite his background, Brendan has even less money than the McDonalds. As the black sheep of his family, he has lived a peripatetic life and scrapes a living buying and selling on the black"
8808,Cry of Morning,Brian Cleeve,1971-11-15,Novel,"Cry of Morning Brian Cleeve Novel  The novel is set in the Republic of Ireland during the period of economic expansion that took place in the 1960s when Seán Lemass was Taoiseach. The narrative is concerned with an attempt by property developer, Francis O'Rourke, to erect a new office block in the centre of Dublin. The site is occupied by a slum dwelling whose occupants are about to be evicted in order to make way for the new development. Pitted against O'Rourke is a determined coalition of interests opposed to his plans. As"
7781,Father of Lies,Brian Evenson,1998-01-01,Science fiction,"Father of Lies Brian Evenson Science fiction  Eldon Fochs is a 38-year-old accountant and lay provost. He is happily married with four children. Feshtig works as a therapist in an Institute of Psychoanalysis funded and controlled by the church. Fochs is persuaded to go to Feshtig by his wife, who has a growing suspicion that her husband harbours dark secrets. Fochs slowly reveals the contents of his dreams and his ""disturbing thoughts"" about children to Feshtig. He reveals two dreams; one when he strangles and dismembers a girl and"
15627,Dead Space: Martyr,Brian Evenson,2010-07-01,Science Fiction,"Dead Space: Martyr Brian Evenson Science Fiction  The novel delves into the origins of Church of Unitology, Michael Altman, Necromorphs and the mysterious Black Marker in the Dead Space universe. The story revolves around geophysicist Michael Altman as he investigates the source of a mysterious signal and uncovers a strange alien artifact. The narrative then goes on to focus on how Altman's actions led to his own unwilling ""martyrdom,"" the origin of the Red Marker, and the subsequent birth of the Church of Unitology."
2561,Death Wish,Brian Garfield,1972-01-01,Thriller,"Death Wish Brian Garfield Thriller  Paul Benjamin is a CPA in New York and lifelong liberal. However, his staid life is overturned when his daughter, Carol, and spouse, Esther, are attacked by muggers. His wife does not survive the attack, and his traumatized daughter is left in a vegetative state. Forced to reevaluate his views, Benjamin becomes paranoid and eager for vengeance. After a trip to Arizona, a friend gives him a revolver as a gift. Benjamin shoots a mugger who accosts him. Benjamin continues to take justice into his"
9345,Death Sentence,Brian Garfield,1975-01-01,Thriller,"Death Sentence Brian Garfield Thriller  Continuing six months after Death Wish left off, Paul Benjamin has moved from New York to Chicago after his catatonic daughter died in an institution, a result of the brutal attack that changed Paul Benjamin into a vigilante. Paul resumes his private violent war as he stalks criminals in the streets of Chicago. The only thing that may distract him from his crusade is a beautiful woman he starts cordially dating in his new life. And as Paul ends up having a double life, an imitating vigilante"
2276,The Fabric of the Cosmos,Brian Greene,2004-01-01,Non-fiction,"The Fabric of the Cosmos Brian Greene Non-fiction  The main focus of Part I is space and time. Chapter 1 is an introduction of what is to come later in the book, such as discussions revolving around classical physics, quantum mechanics and cosmological physics. Chapter 2, ""The Universe and the Bucket"", features space as its key point. The question posed by Greene is this: ""Is space a human abstraction, or is it a physical entity?"" The key thought experiment is a spinning bucket of water, designed to make one think about what creates the force"
13107,Icarus at the Edge of Time,Brian Greene,2008-09-01,Science Fiction,"Icarus at the Edge of Time Brian Greene Science Fiction  The book is a science fiction retelling of Icarus' tale. It is about a young man who runs away from his traveling, deep-space home to explore a black hole."
1877,Dune: The Butlerian Jihad,Brian Herbert,2002-09-17,Science Fiction,"Dune: The Butlerian Jihad Brian Herbert Science Fiction  The Butlerian Jihad introduces a generation of characters whose families will later become the most significant in the universe: the Atreides, the Corrinos and the Harkonnens. Serena Butler, daughter of the viceroy of the League of Nobles, is a strong voice for the human rebellion. Her paramour Xavier Harkonnen leads the military force on the current League capital world of Salusa Secundus. As the story begins, Xavier is repelling an attack on the planet by Omnius' army of cymeks. The cymeks"
2619,Man of Two Worlds,Brian Herbert,1986-01-01,Science Fiction,"Man of Two Worlds Brian Herbert Science Fiction  On the distant planet Dreenor lives the most powerful species in the Galaxy. All of the Universe is the creation of the Dreens, who possess the power of ""idmaging"", turning their thoughts into reality. They can create whole worlds, of which the wild, ungovernable planet Earth is one. But suddenly Earth is a threat, its people on the verge of discovering interstellar travel, and with it, of gaining access to Dreenor itself - a paradox within a paradox, not to be permitted. While the elder"
13589,The Winds of Dune,Brian Herbert,2009-08-04,Science Fiction,"The Winds of Dune Brian Herbert Science Fiction  The novel opens with the Lady Jessica back on Arrakis following the disappearance of her son Emperor Paul-Muad'Dib, who according to Fremen custom has walked into the desert to die after he is blinded. The story of the friendship between Paul Atreides and Bronso Vernius is also told."
10919,Doomwyte,Brian Jacques,2008-10-02,Science fiction,"Doomwyte Brian Jacques Science fiction  The magpie Griv, resting from a storm, listens to the story of the Dibbun Bisky, about how his ancestor Gonff the Mousethief stole four great jewels from the Great Doomwyte Idol. However, the listeners, all fellow Dibbuns, disbelieve the story and lands Bisky in a pillowfight with the squirrel Dwink. Griv leaves for the lair of the Doomwytes, of which she is a member, and tells the Wytes' leader, Korvus Skurr, about the jewels. Bisky and Dwink are caught in their fight by the infirmary keeper"
4142,A Redwall Winter's Tale,Brian Jacques,2001-01-01,Science fiction,"A Redwall Winter's Tale Brian Jacques Science fiction  A Redwall Winter's Tale opens up on the last day of autumn. At Redwall Abbey, dibbuns are playing outside when they notice a group of travelling performers approaching the Abbey. Everyone enters and a show is put on by the performers. Finally, when it is time for bed, the dibbun mole Bungo is told the story of the Snow Badger, a mythical creature who makes the snow fall. Later that night, Bungo sees the Snow Badger and is able to talk to him! When the little mole wakes up, he finds a pouch"
4113,Tribes of Redwall Badgers,Brian Jacques,2001-01-01,Fantasy,"Tribes of Redwall Badgers Brian Jacques Fantasy  This booklet about badgers features trivia questions, a giant poster, and profiles of many of the badger characters that are featured in the series. They include cartoons, fun facts, and the story information. Illustrated by Peter Standley."
8578,Eulalia,Brian Jacques,2007-10-04,Science fiction,"Eulalia Brian Jacques Science fiction  In the far, cold Northern Isles, the fox captain, Vizka Longtooth, sights a lonely farmhouse. Wanting plunder, he orders the crew of his ship, the Bludgullet to set ashore. The inhabitants of the farmhouse: the badger Gorath and his grandparents, were from the far south, escaping vermin and war. They had dreamed of going to the legendary havens Redwall Abbey and Salamandastron for peace. However, ill winds destroyed this dream, stranding them on the Northern Isles. Meanwhile, at"
5737,The Redwall Cookbook,Brian Jacques,2005-01-01,Fantasy,"The Redwall Cookbook Brian Jacques Fantasy  This book features numerous recipes for dishes mentioned in the Redwall series, and features illustrations by Christopher Denise. The plot follows Sister Pansy through one cycle of the seasons in Redwall Abbey, as she becomes the Head Cook. The cookbook is divided into the four seasons: Spring, Summer, Autumn and Winter. As befits the cooking of gentle woodland creatures, all of the recipes (with the exception of the obvious crustacean ingredient in Shrimp'n'Hotroot Soup) are completely"
7294,Redwall Friend & Foe,Brian Jacques,2000-01-01,Fantasy,Redwall Friend & Foe Brian Jacques Fantasy  This guide features art by Chris Baker and contains descriptions of Redwall heroes and villains. It also features a pull-out poster and a number of questions to test the reader's knowledge of the series.
2805,The Great Redwall Feast,Brian Jacques,1996-01-01,Children's literature,"The Great Redwall Feast Brian Jacques Children's literature  The Great Redwall Feast tells about the creatures of Redwall preparing for a feast while Matthias the Warriormouse, Constance the Badger Guardian, Foremole, and the Abbot are traveling in Mossflower Woods questing for a mysterious Bobbatan Weary Nod. The book features the Abbeydwellers bustling in Redwall, cooking, gathering flowers, and doing other chores for their beloved Abbot (presumably Abbot Mordalfus). Many characters from Redwall and Mattimeo are present in the book, however, the baby"
2399,The Taggerung,Brian Jacques,2001-01-01,Children's literature,"The Taggerung Brian Jacques Children's literature  His birth was a long-awaited legend, full of mystery and promise, among the outlaw Juska tribes along the western shore. Denoted by a unique mark on his right paw, the Taggerung is a fearsome fighter (In the story, the word 'Taggerung' literally means a warrior of unbeatable strength, courage, and savagery), a warrior the likes of which has not been seen for many seasons.(Sawney Rath's father was the most recent). When a seer from one tribe predicted his birth at Redwall Abbey, Sawney Rath,"
1415,The Bellmaker,Brian Jacques,1994-01-01,Children's literature,"The Bellmaker Brian Jacques Children's literature  Far away, from the northern sea, the Foxwolf Urgan Nagru and Silvamord arrive in Southsward, bringing two shiploads of rats, and storms the Castle Floret. Nagru, the Foxwolf, captures Gael Squirrelking, his wife Serena, their son Truffen and his nursemaid Muta, a mute badger. Entrance to the castle was gained through Silvamord's deceit in feigning weakness and ill fortune in both herself and Urgan Nagru. She then took Truffen the squirrel babe hostage until the gate was opened to the hordes of"
3001,High Rhulain,Brian Jacques,2005-01-01,Science fiction,"High Rhulain Brian Jacques Science fiction  The novel begins with Riggu Felis, wildcat warlord of Green Isle, and his two sons, Jeefra and Pitru, attempting to kill an osprey, later known to be Pandion Piketalon. Riggu scorns his sons' attempts to kill the osprey and jumps into the fray himself, attempting to scare it into submission. The osprey is not intimidated and sinks his talons into the cat's face, flying into the air with him. The wildcat drops to the ground with half of his face torn off. Because of this incident, the wildcat"
2400,Marlfox,Brian Jacques,1998-01-01,Children's literature,"Marlfox Brian Jacques Children's literature  The wandering Noonvale companions travel to Redwall, where they wish to mount a show. on the way, however, they learn that the Marlfoxes will attempt to seize Redwall, and hasten onward to warn them, while Guosim from another part of Mossflower do the same. The Marlfoxes consist of High Queen Silth and her brood. They are different from other foxes in their fur, which gives them the ability to blend in to almost any surrounding, invisible to all but the keenest eye. This ability has given rise"
2401,Mattimeo,Brian Jacques,1989-01-01,Children's literature,"Mattimeo Brian Jacques Children's literature  Mattimeo is a direct sequel to Redwall and Mossflower, taking place eight seasons after the events of the first novel. The peaceful woodland creatures of Redwall Abbey are busy preparing for a feast during the summer equinox. Matthias and Cornflower have had a son named Mattimeo, who has been generally spoiled throughout his life. Meanwhile, the masked fox Slagar the Cruel and his gang of slavers are planning to enter Redwall Abbey during one of their feasts. Slagar, a villainous fox craving"
2410,Mariel of Redwall,Brian Jacques,1991-01-01,Children's literature,"Mariel of Redwall Brian Jacques Children's literature  The protagonist, Mariel Gullwhacker, was enslaved by Gabool the Wild when her father Joseph's ship, the Periwinkle, was captured. It had been carrying a bell to Lord Rawnblade Widestripe in Salamandastron, and that, too, was seized by Gabool. After attacking Gabool, the mouse was thrown into the sea and washed up on the shore, causing her to lose her memory. She took the name ""Storm Gullwhacker"", and gave the name ""Gullwhacker"" to the rope she had used to fight off a seabird. Three members of"
7291,Redwall Map & Riddler,Brian Jacques,1997-01-01,Fantasy,"Redwall Map & Riddler Brian Jacques Fantasy  This guide features a full length map covering the topography of the places discussed in the series up until its year of publication. While now outdated, it is still a valuable tool for comparing the locations of the older books. Also featured in this guide is a series of questions to test the reader's knowledge of the series."
